title,location,salary_range,company_name,industry,company_size,ownership_type,job_code,description,company_intro,source_url,updated_at
助理测试工程师,成都-高新区,9-13K,成都互联网创新科技有限公司,"互联网,计算机软件,人工智能,大数据",20-99人,国企,CP-J-QA-001-02,"岗位方向：互联网/软件/数据。负责测试计划、功能回归、缺陷跟踪和质量保障，强调细致性与流程意识。
工作内容：参与真实业务项目，完成需求理解、方案执行、数据或文档沉淀、跨团队协作与阶段复盘。
能力要求：掌握测试用例设计、接口测试、缺陷管理、SQL、自动化测试基础、质量分析，具备学习能力、沟通协作意识和结果交付意识。
加分项：软件测试工程师，或有校内项目、竞赛、实习、社会实践经历。",成都互联网创新科技有限公司面向应届生和初级人才提供互联网/软件/数据方向的项目实践、导师辅导和轮岗培养。,careerpilot://curated-campus/CP-J-QA-001-02,2026-05-02
测试实习工程师,武汉-光谷,13-19K,武汉互联网产业发展集团,"互联网,计算机软件,人工智能,大数据",20-99人,上市公司,CP-J-QA-001-03,"岗位方向：互联网/软件/数据。负责测试计划、功能回归、缺陷跟踪和质量保障，强调细致性与流程意识。
工作内容：参与真实业务项目，完成需求理解、方案执行、数据或文档沉淀、跨团队协作与阶段复盘。
能力要求：掌握测试用例设计、接口测试、缺陷管理、SQL、自动化测试基础、质量分析，具备学习能力、沟通协作意识和结果交付意识。
加分项：软件测试工程师，或有校内项目、竞赛、实习、社会实践经历。",武汉互联网产业发展集团面向应届生和初级人才提供互联网/软件/数据方向的项目实践、导师辅导和轮岗培养。,careerpilot://curated-campus/CP-J-QA-001-03,2026-05-02
测试开发工程师,成都-高新区,11-16K,成都互联网创新科技有限公司,"互联网,计算机软件,人工智能,大数据",100-299人,民营,CP-J-QD-001-01,"岗位方向：互联网/软件/数据。通过自动化平台和脚本能力提升测试效率，要求质量意识与开发能力并重。
工作内容：参与真实业务项目，完成需求理解、方案执行、数据或文档沉淀、跨团队协作与阶段复盘。
能力要求：掌握Python、自动化测试、接口测试、CI/CD、质量平台、脚本开发，具备学习能力、沟通协作意识和结果交付意识。
加分项：自动化测试专项证书，或有校内项目、竞赛、实习、社会实践经历。",成都互联网创新科技有限公司面向应届生和初级人才提供互联网/软件/数据方向的项目实践、导师辅导和轮岗培养。,careerpilot://curated-campus/CP-J-QD-001-01,2026-05-02
助理测试开发工程师,武汉-光谷,10-15K,武汉互联网产业发展集团,"互联网,计算机软件,人工智能,大数据",100-299人,国企,CP-J-QD-001-02,"岗位方向：互联网/软件/数据。通过自动化平台和脚本能力提升测试效率，要求质量意识与开发能力并重。
工作内容：参与真实业务项目，完成需求理解、方案执行、数据或文档沉淀、跨团队协作与阶段复盘。
能力要求：掌握Python、自动化测试、接口测试、CI/CD、质量平台、脚本开发，具备学习能力、沟通协作意识和结果交付意识。
加分项：自动化测试专项证书，或有校内项目、竞赛、实习、社会实践经历。",武汉互联网产业发展集团面向应届生和初级人才提供互联网/软件/数据方向的项目实践、导师辅导和轮岗培养。,careerpilot://curated-campus/CP-J-QD-001-02,2026-05-02
测试开发实习工程师,西安-高新区,14-21K,西安互联网咨询服务有限公司,"互联网,计算机软件,人工智能,大数据",100-299人,上市公司,CP-J-QD-001-03,"岗位方向：互联网/软件/数据。通过自动化平台和脚本能力提升测试效率，要求质量意识与开发能力并重。
工作内容：参与真实业务项目，完成需求理解、方案执行、数据或文档沉淀、跨团队协作与阶段复盘。
能力要求：掌握Python、自动化测试、接口测试、CI/CD、质量平台、脚本开发，具备学习能力、沟通协作意识和结果交付意识。
加分项：自动化测试专项证书，或有校内项目、竞赛、实习、社会实践经历。",西安互联网咨询服务有限公司面向应届生和初级人才提供互联网/软件/数据方向的项目实践、导师辅导和轮岗培养。,careerpilot://curated-campus/CP-J-QD-001-03,2026-05-02
数据分析师,武汉-光谷,12-18K,武汉互联网产业发展集团,"互联网,计算机软件,人工智能,大数据",500-999人,民营,CP-J-DA-001-01,"岗位方向：互联网/软件/数据。通过数据清洗、分析建模和业务洞察支持决策，强调分析能力、表达能力和业务理解。
工作内容：参与真实业务项目，完成需求理解、方案执行、数据或文档沉淀、跨团队协作与阶段复盘。
能力要求：掌握SQL、Python、Excel、数据可视化、统计分析、业务分析，具备学习能力、沟通协作意识和结果交付意识。
加分项：数据分析师证书，或有校内项目、竞赛、实习、社会实践经历。",武汉互联网产业发展集团面向应届生和初级人才提供互联网/软件/数据方向的项目实践、导师辅导和轮岗培养。,careerpilot://curated-campus/CP-J-DA-001-01,2026-05-02
助理数据分析师,西安-高新区,11-17K,西安互联网咨询服务有限公司,"互联网,计算机软件,人工智能,大数据",500-999人,国企,CP-J-DA-001-02,"岗位方向：互联网/软件/数据。通过数据清洗、分析建模和业务洞察支持决策，强调分析能力、表达能力和业务理解。
工作内容：参与真实业务项目，完成需求理解、方案执行、数据或文档沉淀、跨团队协作与阶段复盘。
能力要求：掌握SQL、Python、Excel、数据可视化、统计分析、业务分析，具备学习能力、沟通协作意识和结果交付意识。
加分项：数据分析师证书，或有校内项目、竞赛、实习、社会实践经历。",西安互联网咨询服务有限公司面向应届生和初级人才提供互联网/软件/数据方向的项目实践、导师辅导和轮岗培养。,careerpilot://curated-campus/CP-J-DA-001-02,2026-05-02
数据分析师实习生,南京-江宁区,15-23K,南京互联网智能制造有限公司,"互联网,计算机软件,人工智能,大数据",500-999人,上市公司,CP-J-DA-001-03,"岗位方向：互联网/软件/数据。通过数据清洗、分析建模和业务洞察支持决策，强调分析能力、表达能力和业务理解。
工作内容：参与真实业务项目，完成需求理解、方案执行、数据或文档沉淀、跨团队协作与阶段复盘。
能力要求：掌握SQL、Python、Excel、数据可视化、统计分析、业务分析，具备学习能力、沟通协作意识和结果交付意识。
加分项：数据分析师证书，或有校内项目、竞赛、实习、社会实践经历。",南京互联网智能制造有限公司面向应届生和初级人才提供互联网/软件/数据方向的项目实践、导师辅导和轮岗培养。,careerpilot://curated-campus/CP-J-DA-001-03,2026-05-02
数据工程师,西安-高新区,13-20K,西安互联网咨询服务有限公司,"互联网,计算机软件,人工智能,大数据",1000-9999人,民营,CP-J-DE-001-01,"岗位方向：互联网/软件/数据。负责数据管道、数仓建模和数据基础设施建设，强调工程能力与稳定性意识。
工作内容：参与真实业务项目，完成需求理解、方案执行、数据或文档沉淀、跨团队协作与阶段复盘。
能力要求：掌握Python、SQL、ETL、Airflow、数据仓库、Spark，具备学习能力、沟通协作意识和结果交付意识。
加分项：大数据工程师，或有校内项目、竞赛、实习、社会实践经历。",西安互联网咨询服务有限公司面向应届生和初级人才提供互联网/软件/数据方向的项目实践、导师辅导和轮岗培养。,careerpilot://curated-campus/CP-J-DE-001-01,2026-05-02
助理数据工程师,南京-江宁区,12-19K,南京互联网智能制造有限公司,"互联网,计算机软件,人工智能,大数据",1000-9999人,国企,CP-J-DE-001-02,"岗位方向：互联网/软件/数据。负责数据管道、数仓建模和数据基础设施建设，强调工程能力与稳定性意识。
工作内容：参与真实业务项目，完成需求理解、方案执行、数据或文档沉淀、跨团队协作与阶段复盘。
能力要求：掌握Python、SQL、ETL、Airflow、数据仓库、Spark，具备学习能力、沟通协作意识和结果交付意识。
加分项：大数据工程师，或有校内项目、竞赛、实习、社会实践经历。",南京互联网智能制造有限公司面向应届生和初级人才提供互联网/软件/数据方向的项目实践、导师辅导和轮岗培养。,careerpilot://curated-campus/CP-J-DE-001-02,2026-05-02
数据实习工程师,苏州-工业园区,16-25K,苏州互联网现代服务有限公司,"互联网,计算机软件,人工智能,大数据",1000-9999人,上市公司,CP-J-DE-001-03,"岗位方向：互联网/软件/数据。负责数据管道、数仓建模和数据基础设施建设，强调工程能力与稳定性意识。
工作内容：参与真实业务项目，完成需求理解、方案执行、数据或文档沉淀、跨团队协作与阶段复盘。
能力要求：掌握Python、SQL、ETL、Airflow、数据仓库、Spark，具备学习能力、沟通协作意识和结果交付意识。
加分项：大数据工程师，或有校内项目、竞赛、实习、社会实践经历。",苏州互联网现代服务有限公司面向应届生和初级人才提供互联网/软件/数据方向的项目实践、导师辅导和轮岗培养。,careerpilot://curated-campus/CP-J-DE-001-03,2026-05-02
数据产品经理,南京-江宁区,14-18K,南京互联网智能制造有限公司,"互联网,计算机软件,人工智能,大数据",20-99人,民营,CP-J-DPM-001-01,"岗位方向：互联网/软件/数据。负责数据产品方案设计与落地，强调业务理解、跨团队推动和数据思维。
工作内容：参与真实业务项目，完成需求理解、方案执行、数据或文档沉淀、跨团队协作与阶段复盘。
能力要求：掌握需求分析、数据指标体系、原型设计、SQL、项目推进、产品文档，具备学习能力、沟通协作意识和结果交付意识。
加分项：产品经理证书，或有校内项目、竞赛、实习、社会实践经历。",南京互联网智能制造有限公司面向应届生和初级人才提供互联网/软件/数据方向的项目实践、导师辅导和轮岗培养。,careerpilot://curated-campus/CP-J-DPM-001-01,2026-05-02
助理数据产品经理,苏州-工业园区,13-17K,苏州互联网现代服务有限公司,"互联网,计算机软件,人工智能,大数据",20-99人,国企,CP-J-DPM-001-02,"岗位方向：互联网/软件/数据。负责数据产品方案设计与落地，强调业务理解、跨团队推动和数据思维。
工作内容：参与真实业务项目，完成需求理解、方案执行、数据或文档沉淀、跨团队协作与阶段复盘。
能力要求：掌握需求分析、数据指标体系、原型设计、SQL、项目推进、产品文档，具备学习能力、沟通协作意识和结果交付意识。
加分项：产品经理证书，或有校内项目、竞赛、实习、社会实践经历。",苏州互联网现代服务有限公司面向应届生和初级人才提供互联网/软件/数据方向的项目实践、导师辅导和轮岗培养。,careerpilot://curated-campus/CP-J-DPM-001-02,2026-05-02
数据产品管培生,天津-滨海新区,17-23K,天津互联网创新科技有限公司,"互联网,计算机软件,人工智能,大数据",20-99人,上市公司,CP-J-DPM-001-03,"岗位方向：互联网/软件/数据。负责数据产品方案设计与落地，强调业务理解、跨团队推动和数据思维。
工作内容：参与真实业务项目，完成需求理解、方案执行、数据或文档沉淀、跨团队协作与阶段复盘。
能力要求：掌握需求分析、数据指标体系、原型设计、SQL、项目推进、产品文档，具备学习能力、沟通协作意识和结果交付意识。
加分项：产品经理证书，或有校内项目、竞赛、实习、社会实践经历。",天津互联网创新科技有限公司面向应届生和初级人才提供互联网/软件/数据方向的项目实践、导师辅导和轮岗培养。,careerpilot://curated-campus/CP-J-DPM-001-03,2026-05-02
AI算法工程师,苏州-工业园区,6-11K,苏州互联网现代服务有限公司,"互联网,计算机软件,人工智能,大数据",100-299人,民营,CP-J-AI-001-01,"岗位方向：互联网/软件/数据。负责模型训练、评估与算法优化，强调数学基础、工程实现与问题抽象能力。
工作内容：参与真实业务项目，完成需求理解、方案执行、数据或文档沉淀、跨团队协作与阶段复盘。
能力要求：掌握Python、机器学习、深度学习、PyTorch、数据处理、模型评估，具备学习能力、沟通协作意识和结果交付意识。
加分项：人工智能工程师，或有校内项目、竞赛、实习、社会实践经历。",苏州互联网现代服务有限公司面向应届生和初级人才提供互联网/软件/数据方向的项目实践、导师辅导和轮岗培养。,careerpilot://curated-campus/CP-J-AI-001-01,2026-05-02
助理AI算法工程师,天津-滨海新区,5-10K,天津互联网创新科技有限公司,"互联网,计算机软件,人工智能,大数据",100-299人,国企,CP-J-AI-001-02,"岗位方向：互联网/软件/数据。负责模型训练、评估与算法优化，强调数学基础、工程实现与问题抽象能力。
工作内容：参与真实业务项目，完成需求理解、方案执行、数据或文档沉淀、跨团队协作与阶段复盘。
能力要求：掌握Python、机器学习、深度学习、PyTorch、数据处理、模型评估，具备学习能力、沟通协作意识和结果交付意识。
加分项：人工智能工程师，或有校内项目、竞赛、实习、社会实践经历。",天津互联网创新科技有限公司面向应届生和初级人才提供互联网/软件/数据方向的项目实践、导师辅导和轮岗培养。,careerpilot://curated-campus/CP-J-AI-001-02,2026-05-02
AI算法实习工程师,重庆-渝北区,9-16K,重庆互联网产业发展集团,"互联网,计算机软件,人工智能,大数据",100-299人,上市公司,CP-J-AI-001-03,"岗位方向：互联网/软件/数据。负责模型训练、评估与算法优化，强调数学基础、工程实现与问题抽象能力。
工作内容：参与真实业务项目，完成需求理解、方案执行、数据或文档沉淀、跨团队协作与阶段复盘。
能力要求：掌握Python、机器学习、深度学习、PyTorch、数据处理、模型评估，具备学习能力、沟通协作意识和结果交付意识。
加分项：人工智能工程师，或有校内项目、竞赛、实习、社会实践经历。",重庆互联网产业发展集团面向应届生和初级人才提供互联网/软件/数据方向的项目实践、导师辅导和轮岗培养。,careerpilot://curated-campus/CP-J-AI-001-03,2026-05-02
运维工程师,天津-滨海新区,7-13K,天津互联网创新科技有限公司,"互联网,计算机软件,人工智能,大数据",500-999人,民营,CP-J-OPS-001-01,"岗位方向：互联网/软件/数据。保障系统稳定运行、发布部署和监控告警，强调可靠性意识与应急响应能力。
工作内容：参与真实业务项目，完成需求理解、方案执行、数据或文档沉淀、跨团队协作与阶段复盘。
能力要求：掌握Linux、Docker、CI/CD、监控告警、网络基础、故障排查，具备学习能力、沟通协作意识和结果交付意识。
加分项：运维工程师认证，或有校内项目、竞赛、实习、社会实践经历。",天津互联网创新科技有限公司面向应届生和初级人才提供互联网/软件/数据方向的项目实践、导师辅导和轮岗培养。,careerpilot://curated-campus/CP-J-OPS-001-01,2026-05-02
助理运维工程师,重庆-渝北区,6-12K,重庆互联网产业发展集团,"互联网,计算机软件,人工智能,大数据",500-999人,国企,CP-J-OPS-001-02,"岗位方向：互联网/软件/数据。保障系统稳定运行、发布部署和监控告警，强调可靠性意识与应急响应能力。
工作内容：参与真实业务项目，完成需求理解、方案执行、数据或文档沉淀、跨团队协作与阶段复盘。
能力要求：掌握Linux、Docker、CI/CD、监控告警、网络基础、故障排查，具备学习能力、沟通协作意识和结果交付意识。
加分项：运维工程师认证，或有校内项目、竞赛、实习、社会实践经历。",重庆互联网产业发展集团面向应届生和初级人才提供互联网/软件/数据方向的项目实践、导师辅导和轮岗培养。,careerpilot://curated-campus/CP-J-OPS-001-02,2026-05-02
运维实习工程师,北京-海淀区,10-18K,北京互联网咨询服务有限公司,"互联网,计算机软件,人工智能,大数据",500-999人,上市公司,CP-J-OPS-001-03,"岗位方向：互联网/软件/数据。保障系统稳定运行、发布部署和监控告警，强调可靠性意识与应急响应能力。
工作内容：参与真实业务项目，完成需求理解、方案执行、数据或文档沉淀、跨团队协作与阶段复盘。
能力要求：掌握Linux、Docker、CI/CD、监控告警、网络基础、故障排查，具备学习能力、沟通协作意识和结果交付意识。
加分项：运维工程师认证，或有校内项目、竞赛、实习、社会实践经历。",北京互联网咨询服务有限公司面向应届生和初级人才提供互联网/软件/数据方向的项目实践、导师辅导和轮岗培养。,careerpilot://curated-campus/CP-J-OPS-001-03,2026-05-02
UI/UX设计师,重庆-渝北区,8-15K,重庆设计产业发展集团,"设计服务,数字内容,文化创意",1000-9999人,民营,CP-J-UI-001-01,"岗位方向：设计/创意/数字内容。负责产品视觉设计与用户体验优化，强调设计表达、用户洞察和协作落地能力。
工作内容：参与真实业务项目，完成需求理解、方案执行、数据或文档沉淀、跨团队协作与阶段复盘。
能力要求：掌握Figma、视觉设计、交互设计、用户研究、原型设计、设计规范，具备学习能力、沟通协作意识和结果交付意识。
加分项：UI 设计师认证，或有校内项目、竞赛、实习、社会实践经历。",重庆设计产业发展集团面向应届生和初级人才提供设计/创意/数字内容方向的项目实践、导师辅导和轮岗培养。,careerpilot://curated-campus/CP-J-UI-001-01,2026-05-02
助理UI,北京-海淀区,7-14K,北京设计咨询服务有限公司,"设计服务,数字内容,文化创意",1000-9999人,国企,CP-J-UI-001-02,"岗位方向：设计/创意/数字内容。负责产品视觉设计与用户体验优化，强调设计表达、用户洞察和协作落地能力。
工作内容：参与真实业务项目，完成需求理解、方案执行、数据或文档沉淀、跨团队协作与阶段复盘。
能力要求：掌握Figma、视觉设计、交互设计、用户研究、原型设计、设计规范，具备学习能力、沟通协作意识和结果交付意识。
加分项：UI 设计师认证，或有校内项目、竞赛、实习、社会实践经历。",北京设计咨询服务有限公司面向应届生和初级人才提供设计/创意/数字内容方向的项目实践、导师辅导和轮岗培养。,careerpilot://curated-campus/CP-J-UI-001-02,2026-05-02
UI管培生,上海-浦东新区,11-20K,上海设计智能制造有限公司,"设计服务,数字内容,文化创意",1000-9999人,上市公司,CP-J-UI-001-03,"岗位方向：设计/创意/数字内容。负责产品视觉设计与用户体验优化，强调设计表达、用户洞察和协作落地能力。
工作内容：参与真实业务项目，完成需求理解、方案执行、数据或文档沉淀、跨团队协作与阶段复盘。
能力要求：掌握Figma、视觉设计、交互设计、用户研究、原型设计、设计规范，具备学习能力、沟通协作意识和结果交付意识。
加分项：UI 设计师认证，或有校内项目、竞赛、实习、社会实践经历。",上海设计智能制造有限公司面向应届生和初级人才提供设计/创意/数字内容方向的项目实践、导师辅导和轮岗培养。,careerpilot://curated-campus/CP-J-UI-001-03,2026-05-02
产品经理,北京-海淀区,9-13K,北京互联网咨询服务有限公司,"互联网,计算机软件,人工智能,大数据",20-99人,民营,CP-J-PM-001-01,"岗位方向：互联网/软件/数据。负责需求洞察、方案设计和项目推进，强调系统思考、协作推进与商业敏感度。
工作内容：参与真实业务项目，完成需求理解、方案执行、数据或文档沉淀、跨团队协作与阶段复盘。
能力要求：掌握需求分析、产品规划、原型设计、项目管理、数据分析、竞品分析，具备学习能力、沟通协作意识和结果交付意识。
加分项：NPDP，或有校内项目、竞赛、实习、社会实践经历。",北京互联网咨询服务有限公司面向应届生和初级人才提供互联网/软件/数据方向的项目实践、导师辅导和轮岗培养。,careerpilot://curated-campus/CP-J-PM-001-01,2026-05-02
助理产品经理,上海-浦东新区,8-12K,上海互联网智能制造有限公司,"互联网,计算机软件,人工智能,大数据",20-99人,国企,CP-J-PM-001-02,"岗位方向：互联网/软件/数据。负责需求洞察、方案设计和项目推进，强调系统思考、协作推进与商业敏感度。
工作内容：参与真实业务项目，完成需求理解、方案执行、数据或文档沉淀、跨团队协作与阶段复盘。
能力要求：掌握需求分析、产品规划、原型设计、项目管理、数据分析、竞品分析，具备学习能力、沟通协作意识和结果交付意识。
加分项：NPDP，或有校内项目、竞赛、实习、社会实践经历。",上海互联网智能制造有限公司面向应届生和初级人才提供互联网/软件/数据方向的项目实践、导师辅导和轮岗培养。,careerpilot://curated-campus/CP-J-PM-001-02,2026-05-02
产品管培生,广州-天河区,12-18K,广州互联网现代服务有限公司,"互联网,计算机软件,人工智能,大数据",20-99人,上市公司,CP-J-PM-001-03,"岗位方向：互联网/软件/数据。负责需求洞察、方案设计和项目推进，强调系统思考、协作推进与商业敏感度。
工作内容：参与真实业务项目，完成需求理解、方案执行、数据或文档沉淀、跨团队协作与阶段复盘。
能力要求：掌握需求分析、产品规划、原型设计、项目管理、数据分析、竞品分析，具备学习能力、沟通协作意识和结果交付意识。
加分项：NPDP，或有校内项目、竞赛、实习、社会实践经历。",广州互联网现代服务有限公司面向应届生和初级人才提供互联网/软件/数据方向的项目实践、导师辅导和轮岗培养。,careerpilot://curated-campus/CP-J-PM-001-03,2026-05-02
金融分析师,上海-浦东新区,10-15K,上海金融智能制造有限公司,"金融服务,银行,证券,保险,会计/审计",100-299人,民营,CP-J-FIN-001-01,"岗位方向：金融/财会/风控。负责行业研究、公司财务分析、投资估值建模与研究报告撰写，强调数据敏感度、逻辑思维与风险意识。
工作内容：参与真实业务项目，完成需求理解、方案执行、数据或文档沉淀、跨团队协作与阶段复盘。
能力要求：掌握财务建模、行业研究、Excel、Python、估值分析、 Wind/iFinD，具备学习能力、沟通协作意识和结果交付意识。
加分项：CFA Level I、证券从业资格，或有校内项目、竞赛、实习、社会实践经历。",上海金融智能制造有限公司面向应届生和初级人才提供金融/财会/风控方向的项目实践、导师辅导和轮岗培养。,careerpilot://curated-campus/CP-J-FIN-001-01,2026-05-02
